"co_cid";"no_cid"
"H109";"Conjuntivite não especificada"
"H11 ";"Transtornos da conjuntiva"
"H110";"Pterígio"
"H111";"Degenerações e depósitos da conjuntiva"
"H112";"Cicatrizes da conjuntiva"
"H113";"Hemorragia conjuntival"
"H114";"Outros transtornos vasculares e cistos conjuntivais"
"H118";"Outros transtornos especificados da conjuntiva"
"H119";"Transtorno não especificado da conjuntiva"
"H13 ";"Transtornos da conjuntiva em doenças classificadas em outra parte"
"H130";"Infestação por filárias na conjuntiva"
"H131";"Conjuntivite em doenças infecciosas e parasitárias classificadas em outra parte"
"H132";"Conjuntivite em outras doenças classificadas em outra parte"
"H133";"Penfigóide ocular"
"H138";"Outros transtornos da conjuntiva em doença classificadas em outra parte"
"H15 ";"Transtornos da esclerótica"
"H150";"Esclerite"
"H151";"Episclerite"
"H158";"Outros transtornos da esclerótica"
"H159";"Transtorno não especificado da esclerótica"
"H16 ";"Ceratite"
"H160";"Úlcera de córnea"
"H161";"Outras ceratites superficiais sem conjuntivite"
"H162";"Ceratoconjuntivite"
"H163";"Ceratites intersticial e profunda"
"H164";"Neovascularização da córnea"
"H168";"Outras ceratites"
"H169";"Ceratite não especificada"
"H17 ";"Cicatrizes e opacidades da córnea"
"H170";"Leucoma aderente"
"H171";"Outra opacidade central da córnea"
"H178";"Outras cicatrizes e opacidades da córnea"
"H179";"Cicatriz e opacidade não especificadas da córnea"
"H18 ";"Transtornos da córnea"
"H180";"Pigmentações e depósitos da córnea"
"H181";"Ceratopatia bolhosa"
"H182";"Outros edemas da córnea"
"H183";"Alterações nas membranas da córnea"
"H184";"Degenerações da córnea"
"H185";"Distrofias hereditárias da córnea"
"H186";"Ceratocone"
"H187";"Outras deformidades da córnea"
"H188";"Outros transtornos especificados da córnea"
"H189";"Transtorno não especificado da córnea"
"H19 ";"Transtorno da esclerótica e da córnea em doenças classificadas em outra parte"
"H190";"Esclerite e episclerite em doenças classificadas em outra parte"
"H191";"Ceratite e ceratoconjuntivite pelo vírus do herpes simples"
"H192";"Ceratite e ceratoconjuntivite em outras doenças infecciosas e parasitárias classif. em outra parte"
"H193";"Ceratite e ceratoconjuntivite em outras doenças classificadas em outra parte"
"H198";"Outros transtornos de esclerótica e da córnea em doenças classificadas em outra parte"
"H20 ";"Iridociclite"
"H200";"Iridociclite aguda e subaguda"
"H201";"Iridociclite crônica"
"H202";"Iridociclite induzida pelo cristalino"
"H208";"Outras iridociclites"
"H209";"Iridociclite não especificada"
"H21 ";"Transtornos da íris e do corpo ciliar"
"H210";"Hifema"
"H211";"Outros transtornos vasculares da íris e do corpo ciliar"
"H212";"Degenerações da íris e do corpo ciliar"
"H213";"Cistos da íris, do corpo ciliar e da câmara anterior"
"H214";"Membranas pupilares"
"H215";"Outras aderências e roturas da íris e do corpo ciliar"
"H218";"Outros transtornos especificados da íris e do corpo ciliar"
"H219";"Transtorno não especificado da íris e do corpo ciliar"
"H22 ";"Transtornos da íris e do corpo ciliar em doenças classificadas em outra parte"
"H220";"Iridociclite em doenças infecciosas e parasitárias classificadas em outra parte"
"H221";"Iridociclite em outras doenças classificadas em outra parte"
"H228";"Outros transtornos da íris e do corpo ciliar em doenças classificadas em outra parte"
"H25 ";"Catarata senil"
"H250";"Catarata senil incipiente"
"H251";"Catarata senil nuclear"
"H252";"Catarata senil tipo morgagni"
"H258";"Outras cataratas senis"
"H259";"Catarata senil não especificada"
"H26 ";"Outras cataratas"
"H260";"Catarata infantil, juvenil e pré-senil"
"H261";"Catarata traumática"
"H262";"Catarata complicada"
"H263";"Catarata induzida por drogas"
"H264";"Pós-catarata"
"H268";"Outras cataratas especificadas"
"H269";"Catarata não especificada"
"H27 ";"Transtornos do cristalino"
"H270";"Afacia"
"H271";"Deslocamento do cristalino"
"H278";"Outros transtornos especificados do cristalino"
"H279";"Transtorno não especificado do cristalino"
"H28 ";"Doenças classificadas em outra parte"
"H280";"Catarata diabética"
"H281";"Catarata em outras doenças endócrinas, nutricionais e metabólicas"
"H282";"Catarata em outras doenças classificadas em outra parte"
"H288";"Outros transtorno do cristalino em doenças classificadas em outra parte"
"H30 ";"Inflamação coriorretiniana"
"H300";"Inflamação coriorretiniana focal"
"H301";"Inflamação corrorretiniana disseminada"
"H302";"Ciclite posterior"
"H308";"Outras inflamações coriorretinianas"
"H309";"Inflamação não especificada da coróide e da retina"
"H31 ";"Transtornos da coróide"
"H310";"Cicatrizes coriorretinianas"
"H311";"Degeneração da coróide"
"H312";"Distrofia hereditária da coróide"
"H313";"Hemorragia e rotura da coróide"
"H314";"Descolamento da coróide"
"H318";"Outros transtornos especificados da coróide"
"H319";"Transtorno não especificado da coróide"
"H32 ";"Transtornos coriorretinianos em doenças classificadas em outra parte"
"H320";"Inflamação coriorretiniana em doenças infecciosas e parasitárias classificadas em outra parte"
"H328";"Outros transtornos coriorretinianos em doenças classificadas em outra parte"
"H33 ";"Descolamentos e defeitos da retina"
"H330";"Descolamento da retina com defeito retiniano"
"H331";"Retinosquise e cistos da retina"
"H332";"Descolamento seroso da retina"
"H333";"Defeitos da retina sem descolamento"
"H334";"Descolamento da retina por tração"
"H335";"Outros descolamentos da retina"
"H34 ";"Oclusões vasculares da retina"
"H340";"Oclusão arterial retiniana transitória"
"H341";"Oclusão da artéria retiniana central"
"H342";"Outras oclusões da artéria retiniana"
"H348";"Outras oclusões vasculares retinianas"
"H349";"Oclusão vascular retiniana não especificada"
"H35 ";"Transtornos da retina"
"H350";"Retinopatias de fundo e alterações vasculares da retina"
"H351";"Retinopatia da prematuridade"
"H352";"Outras retinopatias proliferativas"
"H353";"Degeneração da mácula e do pólo posterior"
"H354";"Degenerações periféricas da retina"
"H355";"Distrofias hereditárias da retina"
"H356";"Hemorragia retiniana"
"H357";"Separação das camadas da retina"
"H358";"Outros transtornos especificados da retina"
"H359";"Transtorno da retina não especificado"
"H36 ";"Doenças classificadas em outra parte"
"H360";"Retinopatia diabética"
"H368";"Outros transtornos retinianos em doenças classificadas em outra parte"
"H40 ";"Glaucoma"
"H400";"Suspeita de glaucoma"
"H401";"Glaucoma primário de ângulo aberto"
"H402";"Glaucoma primário de ângulo fechado"
"H403";"Glaucoma secundário a traumatismo ocular"
"H404";"Glaucoma secundário a inflamação ocular"
"H405";"Glaucoma secundário a outros transtornos do olho"
"H406";"Glaucoma secundário a drogas"
"H408";"Outro glaucoma"
"H409";"Glaucoma não especificado"
"H42 ";"Doenças classificadas em outra parte"
"H420";"Glaucoma em doenças endócrinas, nutricionais e metabólicas classificadas em outra parte"
"H428";"Glaucoma em outras doenças classificadas em outra parte"
"H43 ";"Transtornos do humor vitreo"
"H430";"Prolapso do humor vítreo"
"H431";"Hemorragia do humor vítreo"
"H432";"Depósitos cristalinos no humor vítreo"
"H433";"Outras opacidades do vítreo"
"H438";"Outros transtornos do humor vítreo"
"H439";"Transtorno não especificado do humor vítreo"
"H44 ";"Transtornos do globo ocular"
"H440";"Endoftalmite purulenta"
"H441";"Outras endoftalmites"
"H442";"Miopia degenerativa"
"H443";"Outros transtornos degenerativos do globo ocular"
"H444";"Hipotonia do olho"
"H445";"Afecções degenerativas do globo ocular"
"H446";"Corpo estranho retido (antigo) intra-ocular de natureza magnética"
"H447";"Corpo estranho retido (antigo) intra-ocular de natureza não-magnética"
"H448";"Outros transtornos do globo ocular"
"H449";"Transtorno não especificado do globo ocular"
"H45 ";"Transtornos do humor vitreo e do globo ocular em doenças classificadas em outra parte"
"H450";"Hemorragia vítrea em doenças classificadas em outra parte"
"H451";"Endoftalmite em doenças classificadas em outra parte"
"H458";"Outros transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte"
"H46 ";"Neurite optica"
"H47 ";"Transtornos do nervo optico e das vias opticas"
"H470";"Transtornos do nervo óptico não classificados em outra parte"
"H471";"Papiledema não especificado"
"H472";"Atrofia óptica"
"H473";"Outros transtornos do disco óptico"
"H474";"Transtornos do quiasma óptico"
"H475";"Transtornos de outras vias ópticas"
"H476";"Transtornos do córtex visual"
"H477";"Transtornos não especificados das vias ópticas"
"H48 ";"Transtornos do nervo optico (segundo par) e das vias opticas em doenças classificadas em outra parte"
"H480";"Atrofia óptica em doenças classificadas em outra parte"
"H481";"Neurite retrobulbar em doenças classificadas em outra parte"
"H488";"Outros transtornos do nervo óptico e das vias ópticas em doenças classificadas em outra parte"
"H49 ";"Estrabismo paralitico"
"H490";"Paralisia do terceiro par [oculomotor]"
"H491";"Paralisia do quarto par [troclear]"
"H492";"Paralisia do sexto par [abducente]"
"H493";"Oftalmoplegia total (externa)"
"H494";"Oftalmoplegia externa progressiva"
"H498";"Outros estrabismos paralíticos"
"H499";"Estrabismo paralítico não especificado"
"H50 ";"Outros estrabismos"
"H500";"Estrabismo convergente concomitante"
"H501";"Estrabismo divergente concomitante"
"H502";"Estrabismo vertical"
"H503";"Heterotropia intermitente"
"H504";"Outras heterotropias e as não especificadas"
"H505";"Heteroforia"
"H506";"Estrabismo mecânico"
"H508";"Outros estrabismos especificados"
"H509";"Estrabismo não especificado"
"H51 ";"Transtornos do movimento binocular"
"H510";"Paralisia do olhar conjugado"
"H511";"Insuficiência ou excesso de convergência"
"H512";"Oftalmoplegia internuclear"
"H518";"Outros transtornos especificados do movimento binocular"
"H519";"Transtorno não especificado do movimento binocular"
"H52 ";"Transtornos da refração e da acomodação"
"H520";"Hipermetropia"
"H521";"Miopia"
"H522";"Astigmatismo"
"H523";"Anisometropia e aniseiconia"
"H524";"Presbiopia"
"H525";"Transtornos da acomodação"
"H526";"Outros transtornos da refração"
"H527";"Transtorno não especificado da refração"
"H53 ";"Disturbios visuais"
"H530";"Ambliopia por anopsia"
"H531";"Distúrbios visuais subjetivos"
"H532";"Diplopia"
"H533";"Outros transtornos da visão binocular"
"H534";"Defeitos do campo visual"
"H535";"Deficiências da visão cromática"
"H536";"Cegueira noturna"
"H538";"Outros distúrbios visuais"
"H539";"Distúrbio visual não especificado"
"H54 ";"Cegueira e visão subnormal"
"H540";"Cegueira, ambos os olhos"
"H541";"Cegueira em um olho e visão subnormal em outro"
"H542";"Visão subnormal de ambos os olhos"
"H543";"Perda não qualificada da visão em ambos os olhos"
"H544";"Cegueira em um olho"
"H545";"Visão subnormal em um olho"
"H546";"Perda não qualificada da visão em um olho"
"H547";"Perda não especificada da visão"
"H55 ";"Outros movimentos irregulares do olho"
"H57 ";"Transtornos do olho e anexos"
"H570";"Anomalias da função pupilar"
"H571";"Dor ocular"
"H578";"Outros transtornos especificados do olho e anexos"
"H579";"Transtorno não especificado do olho e anexos"
"H58 ";"Outros transtornos do olho e anexos em doenças classificadas em outra parte"
"H580";"Anomalias da função pupilar em doenças classificadas em outra parte"
"H581";"Distúrbios visuais em doenças classificadas em outra parte"
"H588";"Outros transtornos especificados do olho e anexos em doenças classificadas em outra parte"
"H59 ";"Transtornos do olho e anexos pós-procedimento não classificados em outra parte"
"H590";"Ceropatia (bolhosa afácica) subseqüente a cirurgia de catarata"
"H598";"Outros transtornos do olho e anexos pós-procedimentos"
"H599";"Transtorno não especificado do olho e anexos pós-procedimento"
"H60 ";"Otite externa"
"H600";"Abscesso do ouvido externo"
"H601";"Celulite do ouvido externo"
"H602";"Otite externa maligna"
"H603";"Outras otites externas infecciosas"
"H604";"Colesteatoma do ouvido externo"
"H605";"Otite externa aguda não-infecciosa"
"H608";"Outras otites externas"
"H609";"Otite externa não especificada"
"H61 ";"Transtornos do ouvido externo"
"H610";"Pericondrite do pavilhão da orelha"
"H611";"Transtornos não-infecciosos do pavilhão da orelha"
"H612";"Cerume impactado"
"H613";"Estenose adquirida do conduto auditivo externo"
"H618";"Outros transtornos especificados do ouvido externo"
"H619";"Transtorno não especificado do ouvido externo"
"H62 ";"Transtornos do ouvido externo em doenças classificadas em outra parte"
"H620";"Otite externa em doenças bacterianas classificadas em outra parte"
"H621";"Otite externa em doenças virais classificadas em outra parte"
"H622";"Otite externa em micoses"
"H623";"Otite externa em outras doenças infecciosas e parasitárias classificadas em outra parte"
"H624";"Otite externa em outras doenças classificadas em outra parte"
"H628";"Outros transtornos do ouvido externo em doenças classificadas em outra parte"
"H65 ";"Otite media não-supurativa"
"H650";"Otite média aguda serosa"
"H651";"Outras otites médias agudas não-supurativas"
"H652";"Otite média serosa crônica"
